id,text,author
id09114,I packed my chemical instruments and the collected materials and decided to do my job in a dark corner in the northern highlands of Scotland.,MWS
id27670,The ideas of my friend can be summarized in a few words.,EAP
id15648,A certain point under the stars was entitled to him and called him.,HPL
id27679,I think I'll be forced to call them out.,EAP
id14878,"God knows what this world can be or where it ever saw the blasphemous forms that trampled and snaked through it; But whatever the confusing source of his pictures was, one thing was clear.",HPL
id15083,"But all these phenomena are given. I apologize, will be given by the scholars of future ages to the Aschimah the Syrians.",EAP
id24979,My skin was cremated by the sun; My step was firm with conscious power.,MWS
id20087,"In those slums along Main Street I found the old Georgian churches, but they were all long abandoned.",HPL
id06500,"""I believe, sir, you forgot to pay for your brandy and your water.""",EAP
id21174,"I jumped forward and shouted, ""Rogue, before you sign my death warrant, make sure you're safe yourself.""",MWS
id23958,"Only his eyes remained whole, and they sparkled with a driving, widening white heat that grew as the face around them charred and faded away.",HPL
id13881,"He decided to extract and consolidate the fame, power, and accomplishments that could result from a long reign in the three years of his protectorate.",MWS
id01306,There was no promotion for picking up this boat.,EAP
id15580,"Astonished, the excavators made a briefing with the superintendent, who carried large lengths of rope into the pit and set and lowered them without stopping until a floor could be found.",HPL
id07787,"They had received orders, if I were taken again, should I be brought to the Earl; and his leniency led them to expect a conclusion that they considered inappropriate for my crime.",MWS
id13315,"Then slender Nith noticed that since the night the cats had gone, no one had seen the old man or his wife.",HPL
id02772,"Six years had passed, in a dream, but an indelible mark, and I stood at the point where I had hugged my father before I left for Ingolstadt.",MWS
id19806,"""But that Kidd's accumulations were immense is well known.",EAP
id05293,"And as I looked, I saw my head rise, the black, liquid, and sunken eyes opening in horror, and the thin, shady lips parted as if a scream were too horrible to be uttered.",HPL
id17840,And from their high peaks fall one after the other eternal dewdrop.,EAP
id10113,"I had spent many hours in tears and sad meditation; it was after twelve o'clock; Everything was at peace in the house, and the gentle air that stole from my window did not rustle the leaves of the twining trees that shaded it.",MWS
id17270,I have learned a lot with the traditionally receptive ears of the little boy; although habitual secrecy made me not tell anyone my information or my decision.,HPL
id24267,He did not understand these words himself or did not know why certain things made him feel certain feelings; but he imagined that an unrecognized dream had to be responsible.,HPL
id21317,"Look, I'm crying: For more than two years I have never enjoyed a moment without fear.",MWS
id24125,"It is indeed demonstrable that any such impulse given to the air must ultimately impress every single thing that exists in the universe; and the essence of infinite understanding the being we have presented could trace the distant waves of the impulse, upwards and forwards in their influences on all the particles of a thing upwards and on forever in their modifications of old forms or in other words in theirs Creation of new until he finally found them inconspicuously reflected by the deity's throne.",EAP
id02655,Justine was called in her defense.,MWS
id18911,"His engagement broke, Galpin moved east to begin a new life; but soon after, Appletonians learned of his dismissal in disgrace from New York University, where he had received a teaching post in English.",HPL
id26487,"He had a slender head, bulging, watery blue eyes that never seemed to wink, a flat nose, a receding forehead and a narrow chin, and uniquely undeveloped ears.",HPL
id05457,"It will be remembered that in the earliest phase of my speculations about the possibility of passage to the Moon, existence, in its vicinity, an atmosphere that is dense in relation to the mass of the planet, largely in my calculations; this, too, despite many contrary theories, and it can be added, despite a general unbelief about the existence of any lunar atmosphere whatsoever.",EAP
id07762,"My words flowed spontaneously, my statement was firm and fast.",MWS
id22890,"Of course, only a very rare ailment could lead to such radical and radical anatomical changes in a single individual after maturity changes with bony factors as fundamental as the shape of the skull, but then this aspect too was no more confusing and outrageous than the visible features of the disease as a whole.",HPL
id12353,"When I fled this cursed castle on the edge of the swamp, I heard a new sound; usually, but unlike anything I had heard before at Kilderry.",HPL
id05582,He did not try to navigate after the first daring flight because the reaction had taken something from his soul.,HPL
id21404,"One bear, who once tried to swim from Lofoden to Moskoe, was caught and torn down by the stream while he roared terribly to be heard on the shore.",EAP
id14312,He followed her orders and spent a year in exile in Cumberland.,MWS
id18834,"He returned to his former life, to his successes in Greece, in his favor at home.",MWS
id06817,Murderers who received it would not have failed to put on a weight.,EAP
id23484,"After every brief and inevitable sleep, I seemed to be older, while my friend almost shocked me with a rush.",HPL
id05876,"I look at the hands that did the act; I think of the heart in which the idea of ​​it was conceived, and I long for the moment when those hands will meet my eyes, when that vision will no longer pursue my thoughts.",MWS
id22987,Terrible sights were formed in the dim cloud over the city; and my only relief came from the struggles I was making to approach the gate.,MWS
id05449,"To reach it, he said, he would rise through the chasms of emptiness and burn down any obstacle that stood in his way.",HPL
id24399,"""Pierre Moreau, Trafikant, states that he has been selling small amounts of tobacco and snuff to Madame L'Espanaye for nearly four years.",EAP
id11413,I was still accelerating my pace.,EAP
id03950,"I decided to fly far from my misfortune; but for me, hated and despised, every country must be equally terrible.",MWS
id08447,"It was in the spirit of this wisdom that the ancient Hebrews believed that the gates of heaven would open to the sinner or saint who, with good lungs and implicit confidence, should conceive the word ""Amen."" In the spirit of this wisdom, Epimenides believed that when a great plague raged in Athens and all means were tried in vain, Epernides, as Laertius reports in his second book of this philosopher, the establishment of a shrine and temple ""to the right God."" LYTTLETON BARRY.",EAP
id21568,"I am confident that he would never have dreamed of taking up residence in Alexander the Great in the city if he had known that Alexander the Great had a man named John Smith in the town, if I remember correctly lived there for many years had grown quietly in the editing and publication of the ""Alexander the Great o nopolis Gazette"".",EAP
id25461,I will protect the first one I commit to your cargo.,MWS
id01207,"Miserable himself, that he can not make another miserable man, should he die.",MWS
id08041,The police heard a shot in the old Tillinghast house and found us dead and dead unconscious.,HPL
id03570,It is even possible that the train of my ideas would never have received the fatal impulse that led to my downfall.,MWS
id09713,"I had not joined the army on my own initiative, but as a natural consequence of the convocation of the man whose indispensable assistant I am the acclaimed Boston surgeon. Herbert West was.",HPL
id12320,"It was my last connection with a closed chapter of life, and I appreciated it very much.",HPL
id18040,"The longer I meditated on them, the more intense was the interest that aroused in me.",EAP
id27756,"She has often tormented; but her confidence in the singleness of his affection was undisturbed; and when they were together, without fear, she opened her heart to the fullest joy.",MWS
id15641,"For me, there was nothing grotesque in the bones and skeletons that grazed some of the stone crypts deep between the foundations.",HPL
id11826,"He was full of thoughts and remained silent for a considerable part of our journey; At last he said, ""I apologize to you for my abstraction, the truth is that Ryland's move is coming into the night, and I'm considering my answer.""",MWS
id06472,"The thing can not be described, there is no language for such chasms of screeching and primeval lunacy, such unruly contradictions of all matter, force and cosmic order.",HPL
id04172,"To contribute to our dilemma, we found the pumps suffocating and almost useless.",EAP
id23387,"Because they were ignorant men, I found little difficulty in winning them for my purpose.",EAP
id16818,"It was strangely funny, and my uncle spoke almost embarrassed, as if half expecting not to be believed when he explained that to the strangers who had unmistakably carried the characteristics of the Harris family.",HPL
id09068,"For three months a night has not passed, during which I was largely not engaged to plunder the D-Hotel.",EAP
id15774,"Raymond was not surprised that the artist had shrunk, but he did not change his resolve.",MWS
id17128,He no longer yearns for the magic of distant hills or sighs for secrets that look like green reefs from a bottomless sea.,HPL
id08079,"But as I endured punishment and pain in their defense with the spirit of a hero, I took praise and obedience as a reward.",MWS
id10542,I have to collect my thoughts.,MWS
id21056,"I did not impose anything on anyone, I did not suffer anybody who played the possum with me.",EAP
id12080,"""Not so,"" I said, ""though I confess that my thoughts are not as pleasing as yours.",MWS
id10888,"Then, as I remained paralyzed with fear, he found his voice, crying in his last breath those words that have since struck my days and nights.",HPL
id23731,"""Certainly it is not the custom of Englishmen to receive strangers so inhospitable.""",MWS
id23209,"They remained in custody five months before the trial began, causing them to lose their fortunes and condemn them to constant exile from their homeland.",MWS
id25905,"They never stopped swimming in the river from this cursed reef of Satan, and more attic wizards were nailed down with boards, more and more noises were executed in houses as well as not I had no one in them. , , ,",HPL
id05110,"At Lawrence he had been prominent in the pseudo-fraternity of ""Tappa Tappa Keg,"" where he was the wildest and funniest of the wild and happy young Roysterrers; but this immature, collegial frivolity did not satisfy him.",HPL
id12871,"Apart from their black fur, the limbs roughly resembled the hind legs of the giant dinosaurs of the prehistoric earth; and ended in reddish veined pads that were neither hooves nor claws.",HPL
id04666,"These are my temptations, and they are enough to overcome any fear of danger or death, and to make me begin this arduous journey with the joy a child feels as it embarks on a journey of discovery in a small boat with its vacation companions goes up his native river.",MWS
id27629,"At the two side doors to the connecting rooms there were enough screws, and these I fastened.",HPL
id05317,"His assumption was that ""a well-informed boy who was so thin and tall at his age that he could be hidden in a drawer almost immediately under the chessboard"" played the game of chess and influenced all the developments of the machine.",EAP
id20597,"Penetrated into the room, crossing and repeating themselves in endless irregularity, were countless benches and desks, black, old and old-fashioned, stacked desperately with battered books and so bespattered with initials, full-length names, grotesque figures and other mish-mashed efforts of the knife, to have completely lost what little of the original form might have been her part in the days that have gone away.",EAP
id09853,"If male courage and resistance can save us, we will be saved.",MWS
id09334,"The silver hair and benevolent countenance of the aged purchaser won my veneration, while the gentle manners of the girl lured my love.",MWS
id19728,I started to put my body in need.,MWS
id25281,But I can not interrupt these absurdities in detail.,EAP
id03036,I only traveled at night for fear of meeting a human face.,MWS
id12020,"No sooner had we recovered our senses before the front tent had been torn to pieces when we got up, left sail, and that went pretty well for several hours, and the ship sailed much more calmly than before on the sea.",EAP
id04949,"The lower part of the other is not visible through the head of the lumbering bedstead, which rests close to it.",EAP
id09194,"Adrian had instituted systematic policies in the metropolis that could not stop the progress of death, but kept other evils, vice, and folly from making the terrible fate of the hour even greater.",MWS
id01172,"""At a quarter past eight, unable to breathe without the most unbearable pain, I continued to set the apparatus that belongs to the condenser to the car.",EAP
id21956,"The professor had been beaten when he returned from the boat to Newport; He suddenly fell, as witnesses said, after being knocked down by a nautical-looking Negro who had come from one of the strange dark courtyards on the steep slope that formed a shortcut from the waterfront to the deceased's home on Williams Street.",HPL
id01830,"Suddenly the poor guy, animated by his last current of power, raised his dreadful head out of the damp and sunken pavement.",HPL
id25698,"""Ha ha ha,"" said this gentleman, ""he he hi hi ho ho ho hu hu hu very good indeed you do not have to be surprised mon ami; our friend here is a joke a drole you do not have to understand it in the wording. """,EAP
id22366,"It is true that I will not find an opportunity to transfer it to the world, but I will not fall to make the effort.",EAP
id17453,"I repeat that in landscape arrangements, or collocations alone, the physical nature is receptive to ""exaltation,"" and that therefore their susceptibility to improvement in that one point was a mystery that I have yet to solve.",EAP
id15797,"He also cut wood and began repairing the unused parts of his house, a spacious, roofed roof construction whose rear end was completely embedded in the rocky slope, and whose three least destroyed ground floor rooms were always sufficient for him and his daughter.",HPL
id14132,"In the meantime, it was stupid to mourn or think.",EAP
id22533,"The extreme darkness of the stage, the only light of which was received by the fire under the cauldron, merged with a kind of mist that floated around it, rendering the unearthly forms of the witches dark and shady.",MWS
id25269,"Sheehan's is the recognized center for Chicago's underground traffic with alcohol and narcotics, and as such has a certain dignity that extends even to the neglected attachés of the place; but there was, until recently, one who lay outside the pale of that dignity, who shared the dirt and grime, but not the importance of Sheehan.",HPL
id06356,"Perhaps the gradation of his copy did not make it so easily noticeable; or, better yet, I owe my safety to the master of the copyist, who, despising the letter, which is all that is stolen in a painting, gave only the full spirit of his original for my individual contemplation and annoyance.",EAP
id27761,It was perhaps an effect of such surroundings that my mind soon gained a touch of melancholy.,HPL
id04015,"""You should hear what some of the vintage cars tell about the black reef off the coast of Devil Reef, they call it.",HPL
id08936,The prince had provided all the amenities of pleasure.,EAP
id02672,"For a week I tried the joys of this Charnel Conviviality, which I can not describe when the whole thing happened, and I was carried to this damned apartment of grief and monotony.",HPL
id01301,"He sees enough, I'll tell you, Mis' Corey. That does not mean well and I think like all men should have a party and do 'suthin'.",HPL
id11714,"No recognized school of sculpture had animated this terrible object, but centuries and even thousands of years seemed to be recorded in its dark and greenish surface of inescapable stone.",HPL
id22514,"I dared not hope for a long time; but as his unobstructed breathing and the moisture that flowed through his forehead were no sign of the progression of the deadly disease, I ventured to whisper the news of the change to Idris, and finally managed to convince her that I was the truth said.",MWS
id25671,"He also understood the true character, the sublime goals, the highest majesty and dignity of the poetic feeling.",EAP
id27169,Otherwise there is no immortality for man.,EAP
id07849,"I put the second layer, and the third and the fourth; and then I heard the angry vibrations of the chain.",EAP
id03066,"All in all, he became a disturbing and even cruel companion; but in gratitude for his healing, I could not give him up to the stranger around him, and was careful to dust his room and devote himself to his needs every day, muffled in a heavy Ulster that I had specially bought for this purpose.",HPL
id19449,I longed for the love she had previously overflowed.,EAP
id15830,"It was a licking glow of this kind that always played over the old woman and the little furry thing in those brighter, sharper dreams that were preparing his leap into unknown abysses, and the thought that a watchful second person could see the dream luminosity was completely beyond healthy accommodation.",HPL
id26636,"My first thought was Perdita; I have to return to her; I must support her, drawing such food from the despair that might best support her wounded heart; He reminded her of the wild excesses of mourning, of the strict laws of duty and the gentle tenderness of regret.",MWS
id00037,"He not only had an affinity for man, but all nature was related to him; the mountains and the sky were his friends; the winds of the sky and the descendants of the earth his playmates; Focusing only on this mighty mirror, he felt his life mingling with the universe of existence.",MWS
id25376,Unwanted souls make this incident one of the biggest clashes in a convulsive war on alcohol.,HPL
id01019,"The rig proved to be poorly fitted and heavily loaded; and on the third day of the strike, about five o'clock in the afternoon, our mizzen mast, which had fallen to windward in Luv, passed the board.",EAP
id04152,"Alfred stood motionless before him, absorbed all his attention.",MWS
id19373,"Beyond, the rusty railway line and Rowley Road led through a flat, swampy terrain with small islands of higher and drier scrubland.",HPL
id04861,"Williamson's records and traditions were delivered in abundance by my grandfather; although I was for Orne material, I had to rely on my uncle Walter, who provided me with the contents of all his files, including notes, letters, cuttings, heirlooms, photographs, and miniatures.",HPL
id17577,"However, a closer examination convinced me that it was intended for a child. """" Ha ha, ""I said,"" to be sure that I have no right to laugh at you, one and a half million dollars is too important for joy, but you will not build a third link in your chain, you will not find special connection between your pirates and goat pirates, you know, have nothing to do with goats; they belong to the agricultural interest. """,EAP
id17205,"It is not surprising that even a gang of villains should hurry to get home when a wide river is crossed in small boats, when the storm lasts and the night approaches.",EAP
id03307,The connection of the two events had so much of the tangible that the true miracle would have been a failure of the people to appreciate and seize it.,EAP
id09691,"When I heard the fears the Kilderry people had expelled, I laughed as loudly as my friend had laughed, for those fears were of the vaguest, wildest, and most absurd kind.",HPL
id23247,"Leave me; I am relentless. """,MWS
id02698,I silently listened to my father and for some time was unable to answer.,MWS
id01371,"You hate me, but your disgust can not be what I'm looking at.",MWS
id11720,"I was instinctively alert, though for no particular reason, and that was to my advantage in the new and real crisis, whatever it was.",HPL
id06141,"I assured my patron that if that were all, I would be completely resigned to playing Thomas Hawk.",EAP
id03603,"A large bruise was detected on the pit of the stomach, apparently due to the pressure of a knee.",EAP
id20705,Mem he will also answer.,EAP
id26332,"Let a composition be flawed, let a correction be done in its mere arrangement of form; Let this correction come to every artist in the world; everyone's need will be recognized.",EAP
id06098,"The hangman, however, adjusted the noose around my neck.",EAP
id19151,"Then we heard a terrible sound from below, with terrifying suddenness.",HPL
id01329,The boat must not be held.,EAP
